Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Fuel Type,Losses
174887,40,23,2,F,Single,2,D,666.9432518
153353,67,46,2,M,Married,10,P,220.2491894
188700,36,17,2,M,Single,3,D,697.7882878
180435,67,47,2,F,Married,6,P,75.60464898
134752,67,48,2,F,Married,15,P,56.76405585
195144,25,8,2,M,Single,14,D,638.3443766
193950,24,6,2,M,Married,14,P,244.2048053
192126,44,27,2,F,Married,3,D,636.8107252
193786,48,29,2,M,Single,9,P,420.7400793
101726,52,34,2,F,Single,2,D,504.1945897
162398,65,46,2,F,Single,10,P,189.9302495
153514,49,29,2,M,Married,6,P,351.0978894
196325,57,40,2,M,Married,11,P,297.269335
129393,32,11,2,F,Married,10,P,361.4693117
107345,42,25,2,F,Married,1,D,637.8821118
127866,19,1,2,F,Married,12,P,257.6636706
158610,25,6,2,F,Married,14,P,256.9070413
160265,53,34,2,F,Single,9,P,462.7846202
118920,27,9,2,M,Single,11,D,506.5426469
170345,63,43,2,M,Married,7,P,284.5705762
196923,68,47,2,F,Single,1,P,55.59478521
147851,51,30,2,F,Single,6,P,392.6467754
186358,63,46,2,M,Married,6,P,110.2380746
165045,55,36,2,F,Single,4,P,439.1418913
133148,18,1,2,M,Married,7,D,502.3279723
152556,37,19,2,M,Single,10,D,538.0641605
153627,61,41,2,F,Single,12,P,266.1838957
165514,51,31,2,F,Married,3,P,366.1772033
184159,16,0,2,F,Married,12,P,169.6975258
131253,60,43,2,M,Single,14,P,18.07329299
123640,22,5,2,M,Single,15,P,444.9877384
158931,16,0,2,F,Married,15,P,421.608874
133965,31,12,2,F,Married,8,P,295.3917924
115444,33,13,2,F,Single,9,P,398.6037432
134220,33,14,2,M,Single,10,P,444.4745895
159312,19,2,2,F,Married,11,P,264.520156
189654,46,27,2,M,Married,0,D,613.432478
124277,62,42,2,M,Married,12,P,60.42093258
171002,65,46,2,M,Married,10,P,213.8189643
110665,63,42,2,F,Single,2,P,124.4352468
120303,55,35,2,F,Single,5,D,952.4488681
121544,48,28,2,M,Single,2,D,563.4226944
193478,61,41,2,F,Single,9,P,273.5220197
122107,45,27,2,M,Single,14,P,168.4427657
191190,22,3,2,M,Married,1,D,1193.282553
145819,61,44,2,M,Married,2,P,342.8013707
100110,25,6,2,F,Single,11,P,292.5574174
127304,70,53,2,F,Single,11,P,216.5357324
117449,18,0,2,F,Married,7,P,488.5919464
143554,22,4,2,M,Single,6,D,1030.454301
163649,62,43,2,F,Married,15,P,30.17443424
167902,52,32,2,M,Single,14,P,223.683626
133185,45,25,2,F,Single,2,D,861.7152966
112411,21,2,2,M,Single,15,D,789.4779955
190354,27,8,2,F,Single,7,P,409.6832917
107944,63,43,2,M,Married,11,P,133.8021934
175313,45,28,2,F,Married,7,P,322.3281216
105468,64,44,2,M,Married,0,P,69.10484034
142841,49,32,2,F,Married,8,P,327.5916895
153157,64,46,2,M,Single,8,P,98.82646966
177825,24,5,2,F,Single,13,P,294.5121624
143584,34,17,2,F,Married,10,P,372.2736021
163336,18,0,2,M,Single,5,D,1026.325173
145924,53,35,2,M,Single,4,D,831.8201575
156322,22,3,2,M,Married,4,D,556.4903536
110313,23,6,2,F,Married,4,P,442.0467628
113800,39,22,2,M,Single,7,P,415.0274743
156774,25,7,2,F,Married,15,P,436.6690835
105932,40,19,2,M,Married,11,P,341.0328439
126038,65,47,2,F,Single,7,P,238.9766815
116831,67,46,2,F,Married,13,P,106.9446878
142747,45,26,2,F,Married,7,P,308.4056167
185320,64,45,2,M,Single,4,D,584.73356
134097,64,47,2,M,Single,7,P,289.2225933
106326,69,50,2,M,Married,11,P,70.4133616
185743,19,1,2,F,Single,11,P,246.9395067
149929,43,23,2,F,Single,15,P,307.2698672
154741,24,5,2,M,Married,12,D,695.6235802
177527,17,0,2,F,Married,11,P,333.0102117
179063,59,38,2,M,Married,15,P,224.6655498
136520,22,5,2,M,Married,6,D,615.4151608
185768,18,0,2,F,Married,15,P,250.9612776
195042,64,47,2,M,Single,5,P,469.211976
144545,20,3,2,M,Married,11,D,648.0153159
104953,57,39,2,M,Single,13,P,437.2575179
102706,37,19,2,F,Married,3,D,661.6002501
133464,19,2,2,M,Married,10,D,610.6187313
163750,64,45,2,M,Single,0,D,552.5432092
194579,41,24,2,F,Married,12,P,308.0973519
148702,25,8,2,M,Single,6,D,614.7198868
142070,22,4,2,M,Married,12,P,420.0226607
188047,61,44,2,F,Married,14,P,36.41245947
138587,34,16,2,M,Married,2,D,686.6682312
125904,18,0,2,M,Married,6,D,779.3561103
104777,43,25,2,M,Married,7,P,363.4525324
177720,18,0,2,F,Married,12,P,271.6989729
172799,49,32,2,F,Married,10,P,319.2959212
107033,58,37,2,M,Single,4,D,603.0673537
142565,65,46,2,M,Single,12,P,103.3600888
194081,37,17,2,M,Single,10,P,440.5955997
186797,24,5,2,F,Single,4,D,820.8498927
196570,18,0,2,F,Married,15,P,189.7144759
189192,17,0,2,M,Married,12,P,202.2061182
142443,64,46,2,M,Single,4,P,423.1791916
138715,22,3,2,M,Married,1,D,1151.615653
191335,63,45,2,M,Single,2,P,459.8051617
179258,53,33,2,M,Single,7,P,428.262359
128864,68,51,2,F,Single,11,P,135.8270226
148374,16,0,2,F,Married,4,P,495.2585145
186105,51,30,2,M,Single,13,P,386.4362948
156649,47,26,2,F,Married,5,P,379.0807708
134149,65,47,2,F,Married,3,P,319.996219
124766,54,33,2,M,Single,9,P,452.9083255
174454,61,40,2,F,Married,4,P,92.74831323
120595,65,48,2,M,Married,12,P,284.5806468
157795,31,11,2,F,Single,13,P,286.8740409
110631,18,0,2,M,Single,10,D,1189.577654
168025,58,37,2,F,Married,11,P,135.8263113
134145,27,7,2,M,Single,6,P,440.158269
157356,20,1,2,F,Single,12,P,480.0008503
188328,32,11,2,F,Single,9,P,367.69469
153214,60,43,2,M,Single,8,P,59.48996052
115197,70,52,2,M,Single,15,P,228.1268705
122164,16,0,2,F,Married,14,P,338.1644742
161210,44,27,2,F,Single,6,P,405.1558956
189047,18,0,2,M,Single,7,D,1071.895675
144032,68,50,2,F,Married,10,P,167.0878234
181437,25,8,2,M,Married,12,P,123.9473868
135976,33,14,2,F,Single,2,D,675.8074022
180972,20,3,2,F,Single,5,D,681.5311064
147579,66,46,2,M,Single,10,P,120.7814513
148646,67,50,2,M,Single,2,P,81.92175004
186361,17,0,2,F,Married,15,P,132.3798915
142384,64,44,2,F,Married,5,P,297.0548993
165566,69,51,2,F,Married,7,P,96.32803426
199233,31,13,2,M,Single,3,D,729.2347634
170071,63,42,2,F,Single,11,P,184.9471341
121485,17,0,2,F,Single,12,P,269.2318208
100325,54,34,2,M,Married,12,P,308.8783677
120404,68,51,2,M,Single,13,P,69.87144406
194899,25,6,2,F,Married,14,P,251.0376094
126066,53,35,2,M,Single,6,P,474.9232008
198583,46,29,2,M,Married,5,D,740.3524966
164792,62,41,2,F,Married,9,P,294.4686241
109959,24,7,2,M,Married,15,P,491.8858119
103229,65,45,2,F,Single,14,P,234.7325107
103588,16,0,2,F,Single,5,D,639.3834022
169509,30,11,2,M,Single,9,P,396.8697556
114053,61,41,2,F,Single,6,P,177.7606627
120886,67,48,2,M,Single,0,D,699.1471439
121512,67,49,2,F,Married,14,P,174.9818267
173574,61,43,2,M,Single,1,P,402.5741106
184810,20,1,2,M,Married,14,D,565.7705528
129122,34,16,2,F,Single,3,P,436.1101317
159085,66,49,2,F,Married,3,P,285.9494897
123452,30,12,2,M,Single,15,P,349.1487161
137351,25,8,2,F,Married,13,P,258.95265
100792,29,10,2,M,Married,7,P,322.1484453
195442,68,51,2,F,Single,4,P,388.1607412
177243,18,0,2,M,Married,15,P,332.2094764
168401,23,6,2,F,Married,12,P,261.7516407
116031,61,43,2,F,Married,1,P,109.5964897
170611,17,0,2,F,Single,7,D,731.3380755
128569,69,51,2,F,Single,14,P,372.345364
121935,17,0,2,M,Married,0,D,663.8869849
135539,63,43,2,M,Single,11,P,301.6389251
169527,46,29,2,F,Single,10,P,404.0795519
137332,51,31,2,F,Single,11,P,308.7935312
153029,40,19,2,M,Married,2,P,398.0874134
137269,36,19,2,M,Married,6,P,318.751178
111756,31,10,2,M,Single,13,P,347.2765155
192091,44,25,2,M,Married,10,P,341.1858165
181712,61,43,2,F,Single,3,P,390.3536993
143015,41,21,2,F,Single,6,P,421.7293981
191908,70,50,2,F,Single,6,P,390.0849495
139225,63,43,2,F,Married,8,P,117.5557386
112013,18,0,2,F,Single,11,D,695.1091588
192330,67,49,2,F,Married,8,P,207.7536776
175518,68,47,2,F,Married,0,P,168.1164938
124536,31,10,2,F,Single,14,P,137.3592826
150310,46,29,2,M,Single,10,D,535.2924095
139738,58,39,2,M,Single,6,P,473.3205102
163512,57,36,2,M,Single,3,D,924.9965684
146306,25,7,2,M,Married,14,P,305.0281605
159560,42,23,2,F,Single,10,P,341.5910745
142870,60,41,2,F,Single,2,P,296.6977344
158104,30,10,2,M,Married,0,D,631.7516049
109611,50,32,2,M,Single,4,D,788.0825102
154961,65,45,2,F,Married,12,P,174.7134006
140583,21,4,2,F,Married,12,P,170.4990327
123629,33,15,2,M,Single,13,P,270.3458042
182372,61,43,2,F,Single,13,P,389.4722314
148528,49,31,2,M,Single,10,P,360.4891664
127220,69,51,2,M,Single,3,P,274.4210471
126737,69,51,2,F,Single,11,P,54.54551587
117322,57,37,2,M,Single,12,P,152.0623207
115456,64,45,2,M,Single,2,D,524.356007
165944,68,48,2,M,Married,10,P,172.1532142
193742,61,44,2,F,Married,12,P,123.1137754
129207,25,7,2,F,Single,1,D,857.9935307
144219,19,0,2,F,Married,6,P,469.2722573
125427,27,8,2,M,Married,7,P,424.3758894
170331,47,26,2,M,Married,9,P,357.0108591
197817,17,0,2,M,Married,8,P,477.0562697
107427,55,34,2,F,Married,4,D,602.9165094
187630,50,33,2,F,Single,0,D,652.433378
136014,60,40,2,M,Married,2,P,100.1397243
173154,20,1,2,M,Single,8,D,1092.721727
114142,25,6,2,M,Single,14,D,981.002503
179821,42,23,2,M,Single,8,P,461.4186021
106555,24,7,2,F,Married,11,P,256.3592184
199695,66,46,2,M,Single,3,P,236.1840765
164470,49,30,2,M,Married,12,P,226.7195827
177409,21,2,2,M,Single,13,D,556.8865116
119478,62,41,2,F,Married,4,P,283.0600948
145098,63,45,2,M,Married,13,P,74.96116919
163701,69,51,2,F,Single,2,P,340.7535528
132193,69,49,2,F,Single,15,P,159.6179518
139916,49,32,2,F,Single,8,P,468.2818545
183014,54,37,2,F,Single,12,P,366.2778176
167022,16,0,2,M,Married,8,P,396.9247136
151938,61,40,2,F,Single,6,P,141.0243744
163146,41,23,2,M,Married,3,P,398.3501109
123562,19,2,2,M,Married,12,P,244.748224
132981,41,23,2,F,Single,10,P,316.6019221
149152,63,46,2,M,Married,5,P,200.5488273
171316,64,47,2,F,Married,4,P,141.9896861
148777,39,22,2,M,Married,15,P,267.2414317
149376,66,48,2,M,Married,7,P,170.0476499
162958,67,50,2,F,Married,8,P,132.6744557
105088,20,3,2,F,Single,10,P,496.3034295
122102,56,38,2,F,Single,8,P,419.3565651
105446,31,10,2,F,Married,8,P,291.3184574
103443,25,6,2,M,Married,11,P,245.3725447
183063,22,5,2,F,Married,11,P,278.5209343
141649,39,22,2,M,Single,14,P,185.2458451
113022,40,19,2,F,Married,6,P,380.4858605
150948,52,32,2,M,Married,5,D,529.7386863
185267,34,13,2,F,Married,11,P,289.2435646
179585,36,16,2,M,Single,3,D,738.4086177
152612,64,45,2,M,Married,5,P,337.7526133
128261,22,3,2,M,Married,11,P,194.0060904
113948,23,6,2,M,Married,8,D,521.9025364
152332,63,43,2,F,Single,0,D,665.2165102
169873,32,11,2,M,Married,7,P,370.4949476
125421,25,7,2,F,Single,12,P,350.0970634
123332,61,42,2,F,Single,0,P,187.5365645
148265,60,42,2,M,Single,10,P,240.0642337
170087,33,14,2,M,Single,10,P,387.8970548
169825,44,23,2,M,Single,15,P,354.5241248
111897,36,18,2,F,Single,1,P,477.2749712
174771,34,14,2,F,Married,10,P,334.4126622
166450,50,33,2,F,Married,0,P,422.1836566
187382,19,1,2,F,Married,13,P,184.7519116
141567,25,7,2,F,Single,14,P,305.8109081
171617,64,43,2,M,Married,2,P,213.5175971
137704,20,3,2,M,Married,8,P,347.0277294
170905,59,38,2,M,Single,12,P,494.465162
121737,30,12,2,M,Single,10,P,472.8663498
149436,33,16,2,M,Single,9,D,509.6045066
174642,59,40,2,F,Single,12,P,246.3331978
161418,66,48,2,F,Single,3,P,59.24822739
132244,67,49,2,F,Single,0,P,455.5473483
103888,65,47,2,M,Married,9,P,141.6715803
102115,28,9,2,F,Married,13,P,319.5596127
118220,31,10,2,F,Married,11,P,312.4465176
129355,18,0,2,M,Single,12,D,516.6607639
115566,62,43,2,F,Married,3,P,200.5838031
198482,17,0,2,F,Married,11,P,455.3669137
154387,63,45,2,M,Single,14,P,236.0096439
199592,62,44,2,M,Married,9,P,214.3062182
189521,17,0,2,F,Married,14,P,163.4888262
109628,70,50,2,M,Single,13,P,16.55863596
112951,67,47,2,M,Married,10,P,221.5763437
177624,30,12,2,F,Married,2,D,509.4519769
139893,66,49,2,M,Married,13,P,175.8884718
152158,53,33,2,M,Single,10,P,490.6586864
104434,30,10,2,F,Single,3,P,417.6042699
163180,19,0,2,F,Single,14,P,186.4975253
138357,51,33,2,M,Single,1,D,525.1884374
145834,16,0,2,F,Single,8,D,863.5664988
119306,16,0,2,F,Single,14,P,434.3302549
136948,56,37,2,M,Single,1,D,602.3317886
138629,56,38,2,M,Married,10,P,335.2309377
113051,25,6,2,F,Married,13,P,285.7204047
144446,22,5,2,M,Married,13,D,574.688578
149397,20,1,2,F,Single,15,P,329.4951415
106289,55,36,2,F,Single,6,P,394.2260359
116337,53,34,2,F,Single,8,P,405.5257902
192539,60,40,2,F,Single,5,P,320.4630531
107897,63,45,2,M,Married,8,P,337.1433254
170572,46,29,2,F,Married,0,P,473.0895948
147362,23,5,2,M,Single,15,D,709.7052299
138688,63,44,2,M,Married,15,P,110.9730614
159465,54,35,2,M,Single,9,P,417.4354139
108721,70,52,2,M,Single,0,P,350.0212837
143763,70,53,2,M,Married,10,P,50.65198172
148473,53,33,2,F,Single,12,P,325.810068
167494,19,2,2,M,Married,13,P,243.4427274
172726,53,33,2,F,Married,15,P,296.877291
112764,62,43,2,F,Married,8,P,98.25327356
163961,35,18,2,M,Married,9,P,401.7803639
139100,49,28,2,F,Single,8,P,376.1090335
180958,70,52,2,M,Married,5,P,140.6283107
195958,65,48,2,M,Single,3,P,435.6436387
104613,20,1,2,M,Single,10,D,1286.089237
174309,19,2,2,M,Single,13,D,1041.495458
128174,64,47,2,M,Single,11,P,48.20137783
180050,42,24,2,F,Single,2,D,690.3977415
133645,25,8,2,F,Single,14,P,208.4650989
152931,16,0,2,M,Married,15,P,395.3114021
102993,56,36,2,F,Married,13,P,227.967879
124566,70,51,2,M,Single,7,P,168.8770652
177308,16,0,2,F,Single,15,P,412.5500186
104057,37,19,2,F,Married,3,D,598.5651052
120503,48,29,2,F,Single,9,P,425.7026245
143068,31,14,2,M,Married,0,P,474.1045373
173799,52,32,2,F,Single,13,P,323.8725235
115732,33,16,2,M,Single,1,D,635.3621555
168787,52,34,2,M,Single,15,P,368.4395827
133866,51,30,2,F,Single,3,D,701.7325782
154959,24,7,2,F,Single,14,D,623.1690893
188010,31,13,2,F,Single,0,P,377.7105445
146414,30,9,2,F,Single,9,P,455.0550828
139361,68,49,2,F,Single,1,P,43.40882502
134326,69,49,2,M,Single,9,P,229.1536957
170464,58,38,2,M,Married,12,P,323.152546
105949,65,48,2,F,Single,1,P,111.3605932
176336,63,43,2,F,Single,11,P,18.39388561
170515,66,45,2,F,Married,8,P,153.7567657
136227,28,8,2,M,Married,6,P,360.5535877
193376,32,13,2,F,Married,0,D,602.9203731
106282,66,49,2,F,Married,10,P,231.7778468
133314,46,26,2,F,Married,13,P,217.5709589
141174,63,43,2,F,Married,13,P,235.020936
181182,28,8,2,F,Single,7,P,473.2256212
113593,67,46,2,M,Married,7,P,338.9769113
195808,43,23,2,F,Married,2,P,390.9438171
134822,16,0,2,F,Single,14,P,358.8569449
181731,38,20,2,M,Married,3,D,513.4092655
106650,56,39,2,M,Single,6,D,504.3038973
199346,69,52,2,M,Married,14,P,117.261906
101331,47,28,2,M,Married,1,D,518.3633147
150595,62,43,2,F,Married,12,P,17.62387915
120341,25,8,2,F,Married,15,P,218.1612906
112642,22,4,2,F,Married,3,P,387.2199773
148218,31,14,2,F,Single,13,P,429.6450408
181488,19,0,2,F,Single,11,P,283.2421494
166343,64,43,2,F,Married,3,P,205.2059665
172733,64,45,2,M,Single,11,P,358.3010608
197528,65,47,2,M,Married,3,P,354.2202083
135258,17,0,2,M,Married,15,P,488.2250123
192216,38,21,2,F,Married,8,P,316.5019388
176322,38,20,2,F,Married,14,P,182.2446094
112510,60,43,2,F,Single,5,P,317.6100662
168872,33,12,2,F,Single,12,P,237.228971
192582,17,0,2,M,Single,8,D,1322.743329
191643,18,0,2,M,Married,13,P,387.745597
191513,62,43,2,F,Married,8,P,62.914229
199026,70,52,2,F,Single,13,P,188.6227569
167021,23,6,2,F,Married,10,P,338.6778191
106957,25,7,2,F,Single,10,D,562.181514
180989,18,0,2,M,Single,15,P,463.2390525
198426,61,42,2,M,Single,6,P,400.0163768
139290,65,45,2,M,Single,6,D,533.4980434
122176,16,0,2,M,Single,9,D,782.3743275
144488,34,14,2,M,Married,7,P,353.1886871
123078,43,23,2,F,Single,15,P,141.6558586
118790,19,0,2,F,Single,10,P,472.1382826
110090,60,39,2,F,Single,6,P,301.1482711
107300,23,4,2,M,Married,5,D,551.8162587
129838,45,24,2,F,Married,3,D,620.9608287
162333,21,4,2,M,Single,14,D,753.1638178
136691,38,20,2,F,Married,4,P,421.6299652
109599,16,0,2,F,Single,11,P,414.7386962
103121,58,37,2,M,Single,0,D,800.9668415
145064,68,50,2,M,Single,10,P,86.40253407
149385,64,47,2,F,Married,8,P,45.8953299
165710,34,16,2,F,Single,9,P,344.2895924
149131,43,24,2,F,Single,2,P,478.956515
165671,53,33,2,F,Married,12,P,260.947997
183339,27,8,2,F,Single,3,D,685.5365484
127143,16,0,2,F,Single,15,D,535.3980403
112888,26,6,2,M,Married,6,P,376.8354896
148492,42,22,2,M,Single,3,D,756.6293924
110883,50,29,2,M,Single,11,D,518.1773009
151022,25,8,2,F,Married,13,P,475.6124439
122547,53,34,2,F,Married,7,P,358.3340559
168702,67,50,2,M,Married,7,P,103.0383765
137669,47,28,2,F,Married,10,P,334.1708324
170555,34,16,2,M,Single,12,P,443.5268424
113393,67,48,2,M,Single,5,P,138.816053
148015,47,30,2,F,Single,0,D,535.32901
106836,48,27,2,F,Married,1,D,571.8643026
104883,66,47,2,F,Married,6,P,292.5163962
118965,50,31,2,F,Single,8,P,389.7354599
100639,34,14,2,M,Married,5,D,558.5397196
121255,21,4,2,F,Single,15,D,715.6296193
176075,60,40,2,F,Married,13,P,256.5214825
127229,55,34,2,F,Single,8,P,382.7987489
148796,19,0,2,M,Single,12,D,511.7228049
173362,60,40,2,M,Married,13,P,201.4466206
146355,52,35,2,M,Married,1,P,488.2366164
147429,20,3,2,F,Single,15,P,315.5982887
194417,30,11,2,M,Married,15,P,232.6932893
155424,68,49,2,F,Single,12,P,130.1047303
106599,68,51,2,M,Single,6,P,141.1640445
181462,36,17,2,M,Married,12,P,205.3902518
173292,60,43,2,F,Single,8,P,320.0999341
150352,69,49,2,F,Single,4,P,417.6620295
188208,42,22,2,F,Married,5,D,526.5832167
107019,56,36,2,F,Married,6,P,309.7220679
160191,24,7,2,F,Single,9,D,692.2309
118528,20,2,2,F,Married,12,P,281.0141047
189563,61,42,2,F,Single,14,P,24.21601283
179975,69,49,2,M,Single,6,P,384.149582
166472,17,0,2,M,Married,11,P,339.9900303
192456,43,23,2,M,Married,14,P,288.172329
117425,16,0,2,M,Single,4,D,1248.405899
125254,28,8,2,F,Married,9,P,324.6162633
158478,17,0,2,M,Married,12,D,626.8658074
127244,66,47,2,M,Married,7,P,223.7601178
140895,24,5,2,F,Single,11,D,563.6946496
182237,22,4,2,M,Single,2,D,1394.085068
136940,21,2,2,F,Married,11,P,287.8762396
107595,56,39,2,F,Married,8,P,294.1870698
197780,33,14,2,F,Married,14,P,278.7847833
164174,35,15,2,M,Married,9,P,366.0017822
118785,28,8,2,M,Single,10,P,421.3970439
117546,17,0,2,F,Married,14,P,105.5195049
106026,62,42,2,M,Single,8,P,65.68530084
117868,19,2,2,M,Married,10,P,479.8115482
187987,58,39,2,F,Single,14,P,428.8592904
139112,37,19,2,F,Single,12,P,264.6726718
131994,65,45,2,F,Married,13,P,110.1622715
150149,51,31,2,F,Married,12,P,100.2061501
133232,55,36,2,F,Married,14,P,293.2596459
160087,26,7,2,F,Single,0,D,639.34696
131422,64,44,2,M,Married,4,P,60.55368144
142718,39,22,2,M,Married,15,P,365.1659112
100408,22,5,2,M,Married,13,P,185.4327464
182239,49,32,2,M,Single,6,P,462.1949318
177768,62,44,2,F,Single,10,P,386.6502847
189122,25,6,2,F,Single,6,P,430.1482025
196363,16,0,2,M,Single,14,P,475.5995397
188301,22,5,2,F,Married,1,D,681.6681284
144348,53,35,2,F,Married,10,P,369.8709847
180739,68,48,2,M,Single,9,P,300.270217
164389,61,41,2,M,Single,11,P,184.1277861
155619,59,42,2,M,Single,11,D,525.6856088
145692,19,1,2,F,Single,0,D,1162.112704
145700,68,51,2,F,Single,8,P,177.9324401
170694,21,2,2,M,Married,14,P,115.6370943
153192,24,5,2,F,Single,14,P,362.3409641
129981,17,0,2,F,Married,8,P,432.9213332
197785,25,8,2,M,Single,15,P,469.5215724
195513,41,24,2,M,Married,10,P,365.3682534
180475,17,0,2,M,Married,7,D,584.5653071
116665,63,46,2,M,Married,11,P,66.23357793
194917,57,39,2,F,Single,5,P,421.8803667
109664,17,0,2,M,Married,6,D,553.8790435
102623,31,12,2,F,Single,7,P,424.2943953
183726,16,0,2,M,Married,13,P,204.9570603
175685,27,9,2,F,Single,13,P,331.6471059
125869,16,0,2,F,Single,4,D,1133.909051
189584,22,5,2,F,Married,13,P,235.5643519
171919,69,48,2,F,Single,6,P,270.9878941
198244,67,50,2,F,Married,11,P,256.2403446
159347,31,14,2,M,Single,12,P,293.3821636
177116,37,16,2,M,Married,9,P,422.4744399
158680,34,13,2,F,Single,15,P,384.9820021
168240,65,48,2,M,Single,15,P,234.8463574
186942,63,42,2,M,Married,6,P,107.6584512
111933,23,6,2,M,Single,13,D,681.6024216
105915,21,2,2,M,Single,6,D,917.9892784
167605,43,23,2,M,Married,6,P,330.1191091
129739,53,36,2,F,Married,1,P,476.5679194
173236,26,9,2,F,Single,0,D,521.7207259
172782,25,6,2,M,Married,6,D,642.8873908
100171,19,0,2,F,Married,14,P,290.1292949
112711,59,38,2,M,Married,2,P,375.8090896
183420,68,51,2,M,Single,0,P,246.7727365
176335,20,1,2,F,Married,11,P,181.1133935
171213,21,3,2,M,Single,9,D,1014.926338
194506,63,44,2,M,Single,10,P,122.490126
122533,19,1,2,F,Married,13,P,121.0765599
143309,37,18,2,F,Married,5,P,495.27612
187942,35,15,2,M,Married,6,P,373.2377504
137836,22,5,2,M,Single,11,D,758.3316514
131291,67,46,2,F,Married,10,P,222.2513137
184497,68,50,2,M,Single,9,P,42.99304197
198115,69,51,2,F,Married,4,P,386.8914346
171140,69,51,2,M,Married,5,P,264.7913926
129628,23,6,2,F,Married,15,P,255.527599
134636,46,29,2,F,Single,3,P,477.8429567
192288,68,51,2,M,Married,12,P,31.12221416
188178,67,48,2,F,Single,14,P,23.17656269
151901,36,15,2,F,Single,13,P,238.8627913
175026,61,44,2,M,Married,15,P,32.13850999
149785,65,45,2,F,Married,9,P,351.1961222
121972,69,50,2,M,Married,3,P,61.21346914
110271,17,0,2,F,Married,15,P,215.2266118
150300,16,0,2,F,Married,13,P,304.3596949
104824,16,0,2,F,Married,14,P,250.5357625
184598,20,1,2,F,Married,9,P,306.5802683
123406,63,46,2,F,Married,9,P,34.36052183
128056,29,12,2,F,Single,8,P,474.8403496
107252,61,43,2,F,Married,10,P,252.4533935
131959,54,33,2,F,Married,11,P,267.5866584
125317,68,51,2,M,Single,5,P,267.2097953
132369,30,13,2,F,Married,4,P,481.0608707
177728,63,46,2,M,Single,7,P,410.8016095
160549,61,42,2,F,Married,6,P,70.23548331
181830,58,40,2,M,Single,0,D,877.1687137
171854,28,8,2,F,Married,13,P,222.4028062
104634,58,41,2,M,Married,7,P,382.7712477
101713,62,41,2,F,Single,13,P,102.6944895
152608,36,19,2,F,Single,10,P,422.9126911
154436,21,2,2,M,Married,15,P,484.4608066
179951,47,27,2,F,Single,1,D,568.1048662
198289,51,32,2,F,Married,1,P,476.4940151
148193,46,26,2,F,Single,4,D,691.5961948
179014,63,43,2,F,Married,12,P,66.30321234
102086,69,52,2,M,Married,15,P,213.322691
176351,70,50,2,M,Single,9,P,400.0748994
132666,16,0,2,F,Married,14,P,309.9269399
145160,19,1,2,M,Single,12,D,1084.643825
100744,60,43,2,M,Single,11,P,131.0345546
138460,23,4,2,F,Married,14,P,343.544987
197486,25,7,2,M,Married,12,D,599.941101
168707,21,2,2,M,Single,10,D,1034.576892
185249,25,7,2,F,Single,11,D,759.9206549
193331,16,0,2,F,Married,8,P,253.2009313
171831,19,1,2,M,Married,6,D,619.2836967
107853,16,0,2,M,Married,11,P,454.3752391
161457,29,9,2,F,Single,10,P,454.4628239
171425,26,6,2,F,Single,0,D,521.4251691
182401,58,40,2,F,Married,6,P,313.3115668
154873,26,5,2,F,Single,0,D,743.8404236
117311,25,7,2,F,Married,13,P,271.4999002
147072,36,16,2,M,Married,14,P,246.7423689
191778,18,0,2,M,Married,9,P,469.4447224
106894,24,6,2,M,Married,12,P,358.6754086
182444,69,49,2,F,Single,0,P,181.6719283
158699,37,16,2,F,Married,10,P,331.1874007
101619,68,47,2,F,Married,1,P,394.5895239
171500,28,8,2,M,Married,9,P,377.2063695
170694,18,0,2,F,Married,15,P,184.2619675
168299,49,30,2,M,Married,7,P,355.1656604
129054,61,44,2,M,Single,9,P,182.8579739
108413,44,25,2,F,Single,9,P,417.6475313
118323,24,6,2,M,Single,11,D,906.1379206
124034,65,47,2,F,Married,0,P,151.1795166
125763,21,4,2,F,Married,14,P,388.349014
137799,23,4,2,F,Married,12,P,220.3915989
173815,60,43,2,F,Single,1,D,673.7004525
110498,30,9,2,M,Single,13,P,358.7909877
116419,23,5,2,M,Single,11,D,726.7582512
192102,69,52,2,F,Married,7,P,78.00479255
149627,66,45,2,M,Married,6,P,240.0206554
107638,38,17,2,M,Single,2,D,784.4685291
114186,61,41,2,M,Married,8,P,84.50606754
118460,65,46,2,M,Married,2,P,189.1190181
173285,19,0,2,M,Married,13,P,369.0411629
169052,16,0,2,M,Single,14,P,437.8069624
179398,41,24,2,M,Married,7,P,354.2510202
108729,39,22,2,M,Married,2,P,448.20283
126589,23,4,2,F,Married,8,D,500.0157464
158528,44,26,2,M,Married,0,D,681.5267918
116480,33,13,2,M,Married,7,P,379.5789069
191498,18,1,2,M,Married,12,P,260.0719096
186896,37,18,2,F,Married,3,P,488.343685
173815,24,7,2,F,Married,4,D,659.7952018
188932,70,53,2,F,Married,12,P,154.7307542
103823,29,8,2,F,Married,12,P,315.2526124
110506,70,50,2,M,Single,7,P,459.0836812
112870,42,22,2,M,Married,6,P,349.1696365
132331,34,15,2,M,Single,8,P,446.7676713
106404,60,41,2,F,Single,10,P,336.7476761
131113,69,49,2,M,Single,8,P,283.4059068
173821,54,37,2,F,Married,4,P,433.7988397
180958,20,3,2,F,Married,12,P,124.4894147
180425,18,1,2,F,Married,14,P,133.9794244
