Hhid,loyalty,preferred_store_format,lifestyle,gender
865301,Occasional Shoppers,Large Stores,Very Affluent Customers,F
865981,No longer Shopping,Large Stores,Middle Class,X
866041,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
866381,Occasional Shoppers,Large Stores,Middle Class,F
866571,Occasional Shoppers,Mom and Pop Stores,Middle Class,X
866761,Very Frequent Shoppers,Very Large Stores,Middle Class,F
866951,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
867351,Occasional Shoppers,Large Stores,Very Affluent Customers,M
868091,Very Frequent Shoppers,Very Large Stores,Middle Class,M
869441,No longer Shopping,Large Stores,Middle Class,M
870611,Occasional Shoppers,Large Stores,Low Affluent Customers,M
871351,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
871881,Occasional Shoppers,Others,Low Affluent Customers,F
872091,Very Frequent Shoppers,Very Large Stores,Middle Class,M
872131,Occasional Shoppers,Large Stores,Low Affluent Customers,X
872661,Very Frequent Shoppers,Very Large Stores,Middle Class,M
875871,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,X
876501,Very Frequent Shoppers,Large Stores,Very Affluent Customers,X
876991,Very Frequent Shoppers,Very Large Stores,Middle Class,F
877391,Very Frequent Shoppers,Large Stores,Very Affluent Customers,X
877771,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
878741,Very Frequent Shoppers,Very Large Stores,Middle Class,F
879671,Occasional Shoppers,Others,NA,M
879711,Occasional Shoppers,Large Stores,Very Affluent Customers,F
880311,Occasional Shoppers,Large Stores,Low Affluent Customers,F
880651,Very Frequent Shoppers,Large Stores,Middle Class,M
881241,Occasional Shoppers,Large Stores,Very Affluent Customers,M
882741,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
883671,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
884301,Very Frequent Shoppers,Large Stores,Middle Class,F
885571,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
885611,Occasional Shoppers,Large Stores,Low Affluent Customers,M
887321,Very Frequent Shoppers,Others,Middle Class,F
889221,Occasional Shoppers,Large Stores,Middle Class,X
889941,Very Frequent Shoppers,Very Large Stores,Middle Class,F
891091,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
891131,Occasional Shoppers,Very Large Stores,Low Affluent Customers,X
891281,No longer Shopping,Large Stores,Low Affluent Customers,F
894151,Occasional Shoppers,Large Stores,Low Affluent Customers,F
895271,No longer Shopping,Very Large Stores,Middle Class,F
895501,No longer Shopping,Very Large Stores,Middle Class,M
896581,Lapsing Shoppers,Large Stores,Middle Class,F
896811,Very Frequent Shoppers,Very Large Stores,Middle Class,M
897401,Very Frequent Shoppers,Large Stores,Middle Class,F
898141,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
899301,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
899981,Very Frequent Shoppers,Large Stores,Middle Class,F
901841,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
903931,Occasional Shoppers,Others,Middle Class,F
904711,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
906761,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
907201,Very Frequent Shoppers,Large Stores,Middle Class,F
910761,No longer Shopping,Very Large Stores,Middle Class,F
911541,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
912281,Lapsing Shoppers,Large Stores,Very Affluent Customers,F
912321,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
912511,No longer Shopping,Large Stores,NA,F
913061,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,F
914221,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
915531,Occasional Shoppers,Others,Very Affluent Customers,F
915681,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
915911,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,M
916501,Very Frequent Shoppers,Very Large Stores,Middle Class,F
917431,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
917961,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
918021,No longer Shopping,Mom and Pop Stores,Very Affluent Customers,F
918551,Occasional Shoppers,Large Stores,Low Affluent Customers,F
918741,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
919711,Lapsing Shoppers,Very Large Stores,Middle Class,M
921051,Occasional Shoppers,Large Stores,Very Affluent Customers,F
923141,Occasional Shoppers,Large Stores,Low Affluent Customers,F
923291,Occasional Shoppers,Very Large Stores,Middle Class,M
924071,Very Frequent Shoppers,Large Stores,Middle Class,F
926011,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
926201,Very Frequent Shoppers,Others,Very Affluent Customers,M
926881,No longer Shopping,Small Stores,Low Affluent Customers,F
927701,Very Frequent Shoppers,Large Stores,Middle Class,F
928631,Very Frequent Shoppers,Large Stores,Middle Class,F
928781,Occasional Shoppers,Small Stores,Middle Class,M
929221,No longer Shopping,Others,NA,M
930881,No longer Shopping,Large Stores,Middle Class,X
931131,Very Frequent Shoppers,Large Stores,Middle Class,X
931661,Occasional Shoppers,Others,Low Affluent Customers,F
932971,Occasional Shoppers,Very Large Stores,Middle Class,F
933031,Occasional Shoppers,Large Stores,Very Affluent Customers,F
933371,Occasional Shoppers,Others,Middle Class,F
933411,Occasional Shoppers,Small Stores,Low Affluent Customers,F
935081,Occasional Shoppers,Large Stores,Low Affluent Customers,F
936961,Occasional Shoppers,Mom and Pop Stores,NA,M
937401,Occasional Shoppers,Large Stores,Middle Class,F
937891,Very Frequent Shoppers,Large Stores,Middle Class,F
938141,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
938861,Occasional Shoppers,Small Stores,Middle Class,F
940051,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
942141,Occasional Shoppers,Small Stores,Very Affluent Customers,M
942291,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
943261,Occasional Shoppers,Small Stores,Middle Class,F
943641,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
944231,Very Frequent Shoppers,Very Large Stores,Middle Class,F
946471,Occasional Shoppers,Others,NA,F
947821,Very Frequent Shoppers,Large Stores,Middle Class,F
948181,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
948411,Occasional Shoppers,Small Stores,Low Affluent Customers,F
950281,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
950511,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
951821,Very Frequent Shoppers,Large Stores,Middle Class,X
951971,Very Frequent Shoppers,Very Large Stores,Middle Class,F
952221,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
955431,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
956171,Very Frequent Shoppers,Others,Middle Class,F
957711,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,M
958451,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
959231,Occasional Shoppers,Large Stores,Low Affluent Customers,F
961291,Occasional Shoppers,Very Large Stores,Middle Class,M
961331,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
961901,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
962981,Occasional Shoppers,Small Stores,Middle Class,F
964161,No longer Shopping,Very Large Stores,Very Affluent Customers,M
964201,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
964881,Very Frequent Shoppers,Very Large Stores,Middle Class,X
965701,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
965851,Very Frequent Shoppers,Very Large Stores,Middle Class,F
966101,Very Frequent Shoppers,Very Large Stores,Middle Class,F
966821,Occasional Shoppers,Large Stores,Low Affluent Customers,X
969991,Very Frequent Shoppers,Others,Middle Class,X
970631,Occasional Shoppers,Others,Low Affluent Customers,M
971181,Occasional Shoppers,Very Large Stores,Middle Class,M
971221,Occasional Shoppers,Large Stores,Low Affluent Customers,F
972491,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
973081,No longer Shopping,Large Stores,Very Affluent Customers,X
974431,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
974581,Very Frequent Shoppers,Small Stores,Very Affluent Customers,M
975021,Occasional Shoppers,Large Stores,Low Affluent Customers,F
975211,Occasional Shoppers,Others,Middle Class,F
975741,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,F
977791,Very Frequent Shoppers,Others,Middle Class,F
978191,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
979351,Lapsing Shoppers,Very Large Stores,Very Affluent Customers,F
979541,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
980141,Occasional Shoppers,Large Stores,Low Affluent Customers,F
980521,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
980671,Very Frequent Shoppers,Very Large Stores,Middle Class,F
980901,Occasional Shoppers,Very Large Stores,Low Affluent Customers,X
981071,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
982041,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
983201,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
983541,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
983881,Occasional Shoppers,Large Stores,Low Affluent Customers,M
984851,Occasional Shoppers,Large Stores,Very Affluent Customers,F
985971,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
986941,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
987001,Occasional Shoppers,Others,Low Affluent Customers,F
987721,Very Frequent Shoppers,Others,Middle Class,M
988461,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
988991,Occasional Shoppers,Large Stores,Middle Class,F
989431,Occasional Shoppers,Very Large Stores,Middle Class,M
989811,Very Frequent Shoppers,Large Stores,Middle Class,F
990411,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
990941,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
992271,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
993051,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
993241,Very Frequent Shoppers,Large Stores,Middle Class,F
994401,Very Frequent Shoppers,Very Large Stores,Middle Class,M
995861,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
997041,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
997231,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
997951,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
998881,Occasional Shoppers,Very Large Stores,Middle Class,F
999471,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
1000241,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1000621,Very Frequent Shoppers,Large Stores,Middle Class,F
1000771,Occasional Shoppers,Others,NA,F
1001171,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1001211,Very Frequent Shoppers,Large Stores,Middle Class,F
1001401,Very Frequent Shoppers,Large Stores,Middle Class,F
1002291,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1002331,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1002521,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1002671,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1003071,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1003261,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1003791,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1003831,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1003981,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1004381,Very Frequent Shoppers,Large Stores,Middle Class,F
1004571,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1004611,Very Frequent Shoppers,Large Stores,Middle Class,F
1004951,Occasional Shoppers,Large Stores,Middle Class,M
1005201,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1005541,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1005921,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1006091,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1006321,Occasional Shoppers,Others,Low Affluent Customers,F
1006851,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1007101,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1007591,Occasional Shoppers,Very Large Stores,Middle Class,M
1007631,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1007781,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1007971,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1008371,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1008411,Occasional Shoppers,Large Stores,Middle Class,F
1008561,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1008751,Occasional Shoppers,Mom and Pop Stores,NA,F
1008941,No longer Shopping,Others,Very Affluent Customers,M
1009001,Very Frequent Shoppers,Large Stores,Middle Class,F
1009151,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1009491,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1009721,Very Frequent Shoppers,Large Stores,Middle Class,F
1009871,Occasional Shoppers,Large Stores,Middle Class,F
1009911,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1010091,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1010701,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1011061,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1011101,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1011631,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1012181,Very Frequent Shoppers,Large Stores,Middle Class,F
1012411,Very Frequent Shoppers,Large Stores,Middle Class,F
1012941,Occasional Shoppers,Small Stores,Middle Class,F
1013001,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1013491,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1013681,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1013911,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1014311,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1014461,Occasional Shoppers,Large Stores,Middle Class,F
1014501,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1014651,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1014841,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1015391,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1015621,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1015811,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1016401,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1016551,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1017141,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1017521,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1018111,Very Frequent Shoppers,Large Stores,Middle Class,F
1018261,No longer Shopping,Very Large Stores,Middle Class,F
1018791,No longer Shopping,Very Large Stores,NA,F
1019381,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,M
1019571,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1019611,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1020361,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1020891,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1021521,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1021861,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1021901,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1022071,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1022111,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1022301,Very Frequent Shoppers,Large Stores,Middle Class,M
1022451,Very Frequent Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1022641,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1022791,No longer Shopping,Others,Middle Class,F
1022981,Occasional Shoppers,Large Stores,Middle Class,F
1023041,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1023191,Lapsing Shoppers,Others,Low Affluent Customers,F
1023611,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1023801,Very Frequent Shoppers,Large Stores,Middle Class,F
1023951,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1025281,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1025471,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1025511,No longer Shopping,Others,Low Affluent Customers,F
1025661,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1026101,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1026441,Lapsing Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1026591,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1026631,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1026781,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1026821,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1027371,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1027941,Very Frequent Shoppers,Large Stores,Middle Class,M
1028151,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1028681,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1028911,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1029081,Occasional Shoppers,Small Stores,Middle Class,F
1029271,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1029311,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1029651,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1030061,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1030101,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1030251,No longer Shopping,Large Stores,Low Affluent Customers,M
1030591,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1030781,Occasional Shoppers,Large Stores,Middle Class,F
1030821,Occasional Shoppers,Large Stores,Middle Class,F
1030971,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1031181,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1031561,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1031601,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1031751,Very Frequent Shoppers,Large Stores,Middle Class,F
1032341,Very Frequent Shoppers,Others,Middle Class,M
1032491,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1032531,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1032721,No longer Shopping,Large Stores,Middle Class,F
1032871,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1033081,Very Frequent Shoppers,Large Stores,Middle Class,F
1033271,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1033311,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1033461,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1033501,Occasional Shoppers,Others,Very Affluent Customers,X
1033651,No longer Shopping,Large Stores,NA,M
1033841,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1034051,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1034391,No longer Shopping,Large Stores,Middle Class,F
1034431,Occasional Shoppers,Others,Very Affluent Customers,M
1034621,Occasional Shoppers,Large Stores,Middle Class,F
1034771,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1035021,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1035171,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1035401,Very Frequent Shoppers,Large Stores,Middle Class,F
1035741,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1035891,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
1036141,Very Frequent Shoppers,Large Stores,Middle Class,F
1036331,Very Frequent Shoppers,Large Stores,Middle Class,F
1036671,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1036861,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1037071,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1037111,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1037641,Very Frequent Shoppers,Others,Low Affluent Customers,F
1037791,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1037831,No longer Shopping,Others,Low Affluent Customers,M
1038041,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1038761,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1038801,Occasional Shoppers,Large Stores,Middle Class,F
1038951,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1039011,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1039161,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1039201,Occasional Shoppers,Others,Very Affluent Customers,F
1039731,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1039881,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1040291,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1040521,Occasional Shoppers,Large Stores,Middle Class,F
1040711,Occasional Shoppers,Others,Low Affluent Customers,F
1040861,Very Frequent Shoppers,Large Stores,Middle Class,M
1041641,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1041791,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1042381,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1042571,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1042801,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1042951,Very Frequent Shoppers,Large Stores,Middle Class,F
1043351,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1044091,Occasional Shoppers,Small Stores,Very Affluent Customers,M
1044281,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1044321,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1044511,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1044701,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1044851,Very Frequent Shoppers,Others,Middle Class,F
1045251,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1045441,No longer Shopping,Others,Low Affluent Customers,F
1045781,No longer Shopping,Mom and Pop Stores,Low Affluent Customers,F
1045971,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1046221,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1046371,Occasional Shoppers,Large Stores,Middle Class,F
1046411,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1046561,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1047151,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1047721,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1048081,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1048121,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1048651,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1048841,Very Frequent Shoppers,Others,Low Affluent Customers,M
1049051,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1049391,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1049771,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1049811,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1050031,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1050601,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1051151,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1051911,Very Frequent Shoppers,Large Stores,Middle Class,M
1052081,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1052271,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1052651,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1052841,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1052991,No longer Shopping,Small Stores,Low Affluent Customers,F
1053431,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1053621,Occasional Shoppers,Small Stores,Very Affluent Customers,M
1053961,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1054401,No longer Shopping,Others,Middle Class,F
1054931,Very Frequent Shoppers,Large Stores,Middle Class,F
1055141,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1055291,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
1055521,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1055711,Occasional Shoppers,Large Stores,Middle Class,X
1056071,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1056641,Very Frequent Shoppers,Large Stores,Middle Class,F
1056981,Very Frequent Shoppers,Large Stores,Middle Class,F
1057381,Very Frequent Shoppers,Large Stores,Middle Class,F
1057421,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1057761,Very Frequent Shoppers,Large Stores,Middle Class,M
1057801,Lapsing Shoppers,Large Stores,Very Affluent Customers,F
1057951,Very Frequent Shoppers,Large Stores,Middle Class,F
1058881,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1058921,Occasional Shoppers,Large Stores,NA,F
1059511,No longer Shopping,Large Stores,Very Affluent Customers,F
1059661,No longer Shopping,NA,NA,NA
1059701,Occasional Shoppers,Others,Middle Class,F
1060071,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1060301,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1060791,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1060981,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1061231,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1061571,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1061761,Very Frequent Shoppers,Large Stores,Middle Class,F
1061801,No longer Shopping,Large Stores,NA,F
1061951,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1062011,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1062201,Very Frequent Shoppers,Large Stores,Middle Class,F
1063131,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1063471,Occasional Shoppers,Others,NA,F
1063661,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1063851,No longer Shopping,Small Stores,Very Affluent Customers,F
1064061,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1064101,No longer Shopping,Others,Middle Class,F
1064441,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1065221,No longer Shopping,Others,Very Affluent Customers,F
1065371,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1065561,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1066001,Very Frequent Shoppers,Large Stores,Middle Class,F
1066341,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1066531,Occasional Shoppers,Large Stores,Middle Class,F
1066681,Occasional Shoppers,Very Large Stores,Middle Class,F
1067841,Very Frequent Shoppers,Large Stores,Middle Class,F
1068431,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1068581,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1068771,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1069021,Very Frequent Shoppers,Large Stores,Middle Class,F
1069171,Very Frequent Shoppers,Large Stores,Middle Class,F
1069361,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1069401,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,M
1069551,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1069891,Occasional Shoppers,Large Stores,Middle Class,F
1070151,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1070531,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1070871,Very Frequent Shoppers,Large Stores,Middle Class,F
1071081,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1071121,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1071271,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1071501,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1072051,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1072241,No longer Shopping,Large Stores,Low Affluent Customers,F
1072391,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1072431,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1072811,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1073171,Occasional Shoppers,Very Large Stores,Middle Class,F
1073211,Very Frequent Shoppers,Large Stores,Middle Class,F
